"Status","Name","Duration in ms","Description"
"passed","testcase.E:\Apitest\testcase\sys.test_alogin.Test_class.test_null_user","30",""
"passed","testcase.E:\Apitest\testcase\sys.test_alogin.Test_class.test_error_pwd","46",""
"passed","testcase.E:\Apitest\testcase\sys.test_alogin.Test_class.test_none_user","27",""
"passed","testcase.E:\Apitest\testcase\user.test_saveOrUpdateUser.Test_saveOrUpdateUser.test_register","50",""
"passed","testcase.E:\Apitest\testcase\user.test_saveOrUpdateUser.Test_saveOrUpdateUser.test_loadUserList","73",""
"passed","testcase.E:\Apitest\testcase\sys.test_changePwd.Test_pwd.test_changePwd_success","48",""
"passed","testcase.E:\Apitest\testcase\sys.test_getUserInfo.Test_class.test_getUserInfo","43",""
"passed","testcase.E:\Apitest\testcase\user.test_saveOrUpdateUser.Test_saveOrUpdateUser.test_login","45",""
"passed","testcase.E:\Apitest\testcase\user.test_saveOrUpdateUser.Test_saveOrUpdateUser.test_loadUserInfo","70",""
"passed","testcase.E:\Apitest\testcase\sys.test_alogin.Test_class.test_login_success","89",""
"passed","testcase.E:\Apitest\testcase\sys.test_alogin.Test_class.test_login_failed","34",""
